Title;Artist;Year;Genre;Duo;Explicit;Tags;Notes
Sweet Home Alabama;Lynyrd Skynyrd;1974;Rock;0;0;beginner-friendly,classic-rock;Simple structure, crowd loves it
Twist and Shout;The Beatles;1963;Rock;0;0;beginner-friendly,crowd-favorite;Easy chorus
Jolene;Dolly Parton;1973;Country;0;0;beginner-friendly,country;Simple melody
Ring of Fire;Johnny Cash;1963;Country;0;0;beginner-friendly,country;Three chords basically
Brown Eyed Girl;Van Morrison;1967;Rock;0;0;beginner-friendly,bar-singalong;Sha la la chorus
I'm a Believer;The Monkees;1966;Pop;0;0;beginner-friendly;Easy and fun
Build Me Up Buttercup;The Foundations;1968;Pop;0;0;beginner-friendly;Why do you build me up
Hey Jude;The Beatles;1968;Rock;0;0;beginner-friendly,crowd-favorite;Na na na na
99 Red Balloons;Nena;1983;Pop;0;0;beginner-friendly,1980s;German or English version
Somebody That I Used to Know;Gotye;2011;Indie;0;0;beginner-friendly,2010s;Recognizable melody
Call Me Maybe;Carly Rae Jepsen;2012;Pop;0;0;beginner-friendly,2010s;Everyone knows it
Happy;Pharrell Williams;2013;Pop;0;0;beginner-friendly,2010s;Clap along
Uptown Funk;Mark Ronson ft. Bruno Mars;2015;Funk;0;0;beginner-friendly,dance-floor,2010s;Don't believe me just watch
