Title;Artist;Year;Genre;Duo;Explicit;Tags;Notes
Don't Go Breaking My Heart;Elton John & Kiki Dee;1976;Pop;1;0;duet;Classic duet
Ebony and Ivory;Paul McCartney & Stevie Wonder;1982;Pop;1;0;duet,1980s;
Islands in the Stream;Kenny Rogers & Dolly Parton;1983;Country;1;0;duet,country,1980s;Country classic
Summer Nights;John Travolta & Olivia Newton-John;1978;Pop;1;0;duet;Grease
(I've Had) The Time of My Life;Bill Medley & Jennifer Warnes;1987;Pop;1;0;duet,power-ballad,1980s;Dirty Dancing
Shallow;Lady Gaga & Bradley Cooper;2018;Pop;1;0;duet,2010s;A Star Is Born
I Got You Babe;Sonny & Cher;1965;Pop;1;0;duet;Classic duet
It Takes Two;Marvin Gaye & Kim Weston;1967;Soul;1;0;duet,soul;R&B classic
Endless Love;Diana Ross & Lionel Richie;1981;Pop;1;0;duet,power-ballad;
Under Pressure;Queen & David Bowie;1981;Rock;1;0;duet,rock;Iconic mashup
Stop Draggin' My Heart Around;Stevie Nicks & Tom Petty;1981;Rock;1;0;duet,rock;
You're the One That I Want;John Travolta & Olivia Newton-John;1978;Pop;1;0;duet;Grease
Fairytale of New York;The Pogues;1987;Folk;1;0;duet,folk,1980s;Christmas classic
