Title;Artist;Year;Genre;Duo;Explicit;Tags;Notes
Smells Like Teen Spirit;Nirvana;1991;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,1990s;Live 105 staple
Losing My Religion;R.E.M.;1991;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,1990s;
One;U2;1991;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,1990s;
Creep;Radiohead;1992;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,1990s;
Come as You Are;Nirvana;1991;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,1990s;
Under the Bridge;Red Hot Chili Peppers;1992;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,1990s;
Black;Pearl Jam;1991;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,1990s;
The Freshmen;The Verve Pipe;1996;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,1990s;
Basket Case;Green Day;1994;Punk;0;0;live105-classic,bay-area-nostalgia,punk,1990s;Bay Area punk
When I Come Around;Green Day;1994;Punk;0;0;live105-classic,bay-area-nostalgia,punk,1990s;
Dammit;Blink-182;1997;Punk;0;0;live105-classic,bay-area-nostalgia,punk,1990s;It happens
What's My Age Again?;Blink-182;1999;Punk;0;0;live105-classic,bay-area-nostalgia,punk,1990s;
Black Hole Sun;Soundgarden;1994;Alternative;0;0;live105-classic,bay-area-nostalgia,grunge,1990s;
Today;Smashing Pumpkins;1993;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,1990s;
1979;Smashing Pumpkins;1995;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,1990s;
Everlong;Foo Fighters;1997;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,1990s;
Best of You;Foo Fighters;2005;Alternative;0;0;live105-classic,bay-area-nostalgia,alternative,2000s;
