Title;Artist;Year;Genre;Duo;Explicit;Tags;Notes
I'd Do Anything for Love (But I Won't Do That);Meat Loaf;1993;Rock;0;0;power-ballad,rock;The epic one
Every Rose Has Its Thorn;Poison;1988;Rock;0;0;power-ballad,rock,1980s;Hair metal ballad
November Rain;Guns N' Roses;1991;Rock;0;0;power-ballad,rock,1990s;Nine minutes of glory
I Will Always Love You;Whitney Houston;1992;Pop;0;0;power-ballad,crowd-favorite;That note at the end
Un-Break My Heart;Toni Braxton;1996;R&B;0;0;power-ballad,rnb,1990s;Dramatic R&B ballad
(I've Had) The Time of My Life;Bill Medley & Jennifer Warnes;1987;Pop;1;0;power-ballad,duet,1980s;Dirty Dancing duet
Alone;Heart;1987;Rock;0;0;power-ballad,rock,1980s;Ann Wilson screams
Love Is a Battlefield;Pat Benatar;1983;Rock;0;0;power-ballad,rock,1980s;Pat Benatar delivers
Here I Go Again;Whitesnake;1987;Rock;0;0;power-ballad,rock,1980s;On my own
Don't Stop Believing;Journey;1981;Rock;0;0;power-ballad,rock,1980s,crowd-favorite;The ultimate
Open Arms;Journey;1981;Rock;0;0;power-ballad,rock,1980s;Smoother Journey
Flying Without Wings;Westlife;1999;Pop;0;0;power-ballad,pop;Massive in the UK
My Heart Will Go On;Celine Dion;1997;Pop;0;0;power-ballad,pop,1990s;Titanic
